label,message
ham,"Hey, are we still meeting at 6 today?"
ham,Please send me the project report when you get time.
ham,Your appointment is confirmed for tomorrow at 10 AM.
ham,Can you call me after class?
ham,Do not forget to bring your laptop for the meeting.
ham,Happy birthday! Hope you have a great day.
ham,The train will arrive at platform 3 at 8:30.
ham,Please review the Python assignment before submission.
ham,Let us have lunch together today.
ham,Your interview is scheduled for Monday morning.
ham,Can you share the notes from today lecture?
ham,I reached home safely. See you tomorrow.
ham,The team meeting has been moved to 3 PM.
ham,Please confirm your attendance for the workshop.
ham,Your parcel has been delivered to the reception desk.
ham,Thanks for helping me with the project.
ham,The database backup completed successfully.
ham,Are you available for a quick call this evening?
ham,Please submit the internship task before Friday.
ham,The weather looks good for the trip tomorrow.
ham,Please send the invoice to the accounts team.
ham,I will call you after I finish my work.
ham,The class starts at nine tomorrow morning.
ham,Can you check the document and share your feedback?
ham,Thank you for your message. I will reply soon.
ham,The project presentation is ready for review.
ham,Please remind me about the meeting tomorrow.
ham,We can discuss the assignment after lunch.
ham,Your registration for the workshop is confirmed.
ham,I have attached the files you requested.
spam,Congratulations! You have won a free cash prize. Claim now.
spam,URGENT! You are selected for a reward. Click the link to claim.
spam,"Win a brand new phone today! Limited offer, apply now."
spam,You have been chosen for a special bonus. Claim your reward.
spam,FREE entry! Send your details now to receive your prize.
spam,Exclusive offer! Get a huge discount today. Buy now.
spam,Congratulations winner! Your cash reward is waiting.
spam,Act now to receive your free gift. Offer expires soon.
spam,You won a lucky draw. Confirm your details to collect the prize.
spam,Limited time deal! Click now and get your special reward.
spam,You are eligible for a free voucher. Claim it today.
spam,URGENT: Your reward is ready. Verify your information now.
spam,Special promotion! Get a free bonus when you sign up.
spam,You have won an exclusive prize. Respond immediately.
spam,Claim your free coupon now before the offer ends.
spam,Congratulations! A reward has been reserved for you.
spam,Get instant cash rewards. Apply now for this special offer.
spam,You are a lucky winner. Click here to claim your gift.
spam,Free bonus available today. Register now.
spam,Last chance! Claim your prize before the promotion ends.
spam,You have been selected for a free vacation. Claim your offer now.
spam,Get a special cash bonus today. Apply immediately.
spam,Free prize waiting! Click now to receive your reward.
spam,Exclusive winner offer. Confirm your details today.
spam,Limited offer! Receive your free gift by registering now.
spam,You qualify for a bonus reward. Claim it before midnight.
spam,Congratulations! Your special voucher is ready to claim.
spam,Win big today with our free promotional giveaway.
spam,Urgent reward notice: verify your account to receive your bonus.
spam,Free shopping voucher available. Claim now.
